id_examen,matricula,numero_examen,calificacion
1,200-83-2116,1,2.66
2,868-94-8737,1,6.01
3,581-27-3652,1,1.43
4,835-46-6917,1,6.9
5,879-97-3389,1,9.42
6,296-21-5125,1,6.33
7,503-58-2038,1,4.1
8,151-32-9919,1,9.81
9,645-18-3376,1,4.35
10,381-60-6132,1,2.02
11,242-13-8144,1,1.64
12,186-04-6624,1,1.31
13,326-05-3673,1,2.22
14,379-42-2025,1,3.92
15,656-95-8852,1,0.16
16,526-94-8433,1,6.1
17,315-16-1936,1,7.47
18,836-74-0883,1,2.37
19,439-50-7022,1,6.86
20,151-81-8515,1,0.17
21,757-99-4115,1,7.56
22,754-22-1285,1,6.81
23,604-36-3056,1,4.13
24,842-56-1751,1,6.03
25,590-66-5544,1,8.51
26,696-82-8942,1,5.59
27,466-05-6334,1,7.54
28,277-53-2804,1,5.92
29,809-21-0009,1,2.25
30,638-10-4031,1,0.98
31,503-74-6569,1,6.7
32,849-72-2179,1,9.78
33,124-53-6655,1,7.04
34,134-85-2794,1,5.72
35,374-19-1385,1,5.48
36,565-97-3285,1,4.22
37,259-95-1992,1,8.27
38,266-08-4607,1,8.3
39,143-27-6050,1,1.04
40,206-65-2963,1,9.6
41,868-75-7343,1,9.61
42,435-42-0764,1,6.78
43,866-20-8803,1,9.81
44,665-27-9937,1,2.19
45,833-20-9362,1,2.55
46,515-02-5887,1,4.26
47,695-09-9763,1,7.87
48,436-83-2294,1,0.93
49,846-25-6423,1,7.83
50,253-23-8123,1,8.16
51,200-83-2116,2,1.69
52,868-94-8737,2,4.56
53,581-27-3652,2,1.22
54,835-46-6917,2,3.68
55,879-97-3389,2,9.44
56,296-21-5125,2,2.27
57,503-58-2038,2,2
58,151-32-9919,2,1.79
59,645-18-3376,2,7.59
60,381-60-6132,2,5.54
61,242-13-8144,2,8.04
62,186-04-6624,2,8.93
63,326-05-3673,2,1.48
64,379-42-2025,2,8.68
65,656-95-8852,2,6.46
66,526-94-8433,2,6.39
67,315-16-1936,2,0.5
68,836-74-0883,2,1.23
69,439-50-7022,2,7.61
70,151-81-8515,2,5.12
71,757-99-4115,2,0.76
72,754-22-1285,2,1.98
73,604-36-3056,2,4.35
74,842-56-1751,2,5.31
75,590-66-5544,2,4.2
76,696-82-8942,2,8.93
77,466-05-6334,2,5.83
78,277-53-2804,2,0.03
79,809-21-0009,2,5.45
80,638-10-4031,2,0.2
81,503-74-6569,2,1.67
82,849-72-2179,2,1.09
83,124-53-6655,2,3.23
84,134-85-2794,2,3.86
85,374-19-1385,2,9.78
86,565-97-3285,2,4.3
87,259-95-1992,2,4.74
88,266-08-4607,2,6.88
89,143-27-6050,2,8.48
90,206-65-2963,2,6.97
91,868-75-7343,2,2.67
92,435-42-0764,2,9.57
93,866-20-8803,2,9.32
94,665-27-9937,2,5.42
95,833-20-9362,2,8.65
96,515-02-5887,2,6.92
97,695-09-9763,2,3.32
98,436-83-2294,2,5.29
99,846-25-6423,2,6.1
100,253-23-8123,2,7.98
