id_tarea,matricula,numero_examen,calificacion
1,200-83-2116,1,2.39
2,868-94-8737,1,6.3
3,581-27-3652,1,4.01
4,835-46-6917,1,5.17
5,879-97-3389,1,3.07
6,296-21-5125,1,2.69
7,503-58-2038,1,9.88
8,151-32-9919,1,0.13
9,645-18-3376,1,7.58
10,381-60-6132,1,3.73
11,242-13-8144,1,8.78
12,186-04-6624,1,4.57
13,326-05-3673,1,1.87
14,379-42-2025,1,9.85
15,656-95-8852,1,1.9
16,526-94-8433,1,2.76
17,315-16-1936,1,5.15
18,836-74-0883,1,2.18
19,439-50-7022,1,7.92
20,151-81-8515,1,4.89
21,757-99-4115,1,4.86
22,754-22-1285,1,9.44
23,604-36-3056,1,5.25
24,842-56-1751,1,2.82
25,590-66-5544,1,4.64
26,696-82-8942,1,7.11
27,466-05-6334,1,2.28
28,277-53-2804,1,7.43
29,809-21-0009,1,3.74
30,638-10-4031,1,9.66
31,503-74-6569,1,2.25
32,849-72-2179,1,3.09
33,124-53-6655,1,1.14
34,134-85-2794,1,0.98
35,374-19-1385,1,4.98
36,565-97-3285,1,4.75
37,259-95-1992,1,4.84
38,266-08-4607,1,1.54
39,143-27-6050,1,1.54
40,206-65-2963,1,8.99
41,868-75-7343,1,3.12
42,435-42-0764,1,6.77
43,866-20-8803,1,7.21
44,665-27-9937,1,4
45,833-20-9362,1,8.91
46,515-02-5887,1,9.24
47,695-09-9763,1,2.22
48,436-83-2294,1,8.31
49,846-25-6423,1,6.63
50,253-23-8123,1,4.77
51,200-83-2116,2,2.19
52,868-94-8737,2,4.74
53,581-27-3652,2,0.77
54,835-46-6917,2,1.77
55,879-97-3389,2,3.99
56,296-21-5125,2,4.69
57,503-58-2038,2,5.63
58,151-32-9919,2,6.45
59,645-18-3376,2,0.1
60,381-60-6132,2,2.71
61,242-13-8144,2,0.24
62,186-04-6624,2,4.79
63,326-05-3673,2,0.47
64,379-42-2025,2,1.9
65,656-95-8852,2,4.64
66,526-94-8433,2,5.13
67,315-16-1936,2,5.86
68,836-74-0883,2,0.01
69,439-50-7022,2,9.72
70,151-81-8515,2,9.94
71,757-99-4115,2,9.75
72,754-22-1285,2,7.49
73,604-36-3056,2,4.89
74,842-56-1751,2,9.51
75,590-66-5544,2,3.54
76,696-82-8942,2,5.68
77,466-05-6334,2,2.57
78,277-53-2804,2,4.89
79,809-21-0009,2,4.17
80,638-10-4031,2,1.48
81,503-74-6569,2,2.96
82,849-72-2179,2,7.47
83,124-53-6655,2,7.75
84,134-85-2794,2,5.22
85,374-19-1385,2,7.84
86,565-97-3285,2,5.93
87,259-95-1992,2,0.86
88,266-08-4607,2,7.88
89,143-27-6050,2,5.28
90,206-65-2963,2,9.87
91,868-75-7343,2,0.85
92,435-42-0764,2,0.56
93,866-20-8803,2,8.77
94,665-27-9937,2,9.4
95,833-20-9362,2,6.06
96,515-02-5887,2,6.37
97,695-09-9763,2,5.73
98,436-83-2294,2,9.1
99,846-25-6423,2,1.69
100,253-23-8123,2,7.87
